feature_set,scenario,training_seed,classifier,metric,n_simulation_seeds,mean,sd,ci95_low,ci95_high
4,DNSAmplification,257053,hybrid,roc_auc,10,1.0,5.233641528945917e-17,1.0,1.0
4,DNSAmplification,257053,hybrid,pr_auc_benign,10,1.0,0.0,1.0,1.0
4,DNSAmplification,257053,hybrid,pr_auc_ddos,10,1.0,6.409875621278546e-17,1.0,1.0
4,DNSAmplification,257053,mlp,accuracy,10,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334
4,DNSAmplification,257053,mlp,precision,0,not estimable,not estimable,not estimable,not estimable
4,DNSAmplification,257053,mlp,recall,10,0.0,0.0,0.0,0.0
4,DNSAmplification,257053,mlp,f1,10,0.0,0.0,0.0,0.0
4,DNSAmplification,257053,mlp,balanced_accuracy,10,0.5,0.0,0.5,0.5
4,DNSAmplification,257053,mlp,mcc,0,not estimable,not estimable,not estimable,not estimable
4,DNSAmplification,257053,mlp,roc_auc,10,0.0,0.0,0.0,0.0
4,DNSAmplification,257053,mlp,pr_auc_benign,10,0.6899644494271575,0.0046697330366908055,0.6866239236502388,0.6933049752040762
4,DNSAmplification,257053,mlp,pr_auc_ddos,10,0.16666666666666669,2.925694557147251e-17,0.16666666666666666,0.1666666666666667
4,DNSAmplification,257053,rf,accuracy,10,1.0,0.0,1.0,1.0
4,DNSAmplification,257053,rf,precision,10,1.0,0.0,1.0,1.0
4,DNSAmplification,257053,rf,recall,10,1.0,0.0,1.0,1.0
4,DNSAmplification,257053,rf,f1,10,1.0,0.0,1.0,1.0
4,DNSAmplification,257053,rf,balanced_accuracy,10,1.0,0.0,1.0,1.0
4,DNSAmplification,257053,rf,mcc,10,1.0,0.0,1.0,1.0
4,DNSAmplification,257053,rf,roc_auc,10,1.0,0.0,1.0,1.0
4,DNSAmplification,257053,rf,pr_auc_benign,10,1.0,0.0,1.0,1.0
4,DNSAmplification,257053,rf,pr_auc_ddos,10,1.0,9.064933036736789e-17,0.9999999999999999,1.0
4,DNSAmplification,257053,xgboost,accuracy,10,1.0,0.0,1.0,1.0
4,DNSAmplification,257053,xgboost,precision,10,1.0,0.0,1.0,1.0
4,DNSAmplification,257053,xgboost,recall,10,1.0,0.0,1.0,1.0
4,DNSAmplification,257053,xgboost,f1,10,1.0,0.0,1.0,1.0
4,DNSAmplification,257053,xgboost,balanced_accuracy,10,1.0,0.0,1.0,1.0
4,DNSAmplification,257053,xgboost,mcc,10,1.0,0.0,1.0,1.0
4,DNSAmplification,257053,xgboost,roc_auc,10,1.0,0.0,1.0,1.0
4,DNSAmplification,257053,xgboost,pr_auc_benign,10,1.0,0.0,1.0,1.0
4,DNSAmplification,257053,xgboost,pr_auc_ddos,10,1.0,0.0,1.0,1.0
4,DNSAmplification,282427,hybrid,accuracy,10,1.0,0.0,1.0,1.0
4,DNSAmplification,282427,hybrid,precision,10,1.0,0.0,1.0,1.0
