feature_set,model,n_seeds,fpr,mean_tpr,sd_tpr
8,xgboost,10,0.111,0.9993939146357015,0.00028224314495280947
8,xgboost,10,0.112,0.9993939146357015,0.00028224314495280947
8,xgboost,10,0.113,0.9994582469580984,0.0002379087644100219
8,xgboost,10,0.114,0.9994582469580984,0.0002379087644100219
8,xgboost,10,0.115,0.9994582469580984,0.0002379087644100219
8,xgboost,10,0.116,0.9994582469580984,0.0002379087644100219
8,xgboost,10,0.117,0.9994582469580984,0.0002379087644100219
8,xgboost,10,0.11800000000000001,0.9994582469580984,0.0002379087644100219
8,xgboost,10,0.11900000000000001,0.9994582469580984,0.0002379087644100219
8,xgboost,10,0.12,0.9994582469580984,0.0002379087644100219
8,xgboost,10,0.121,0.9994582469580984,0.0002379087644100219
8,xgboost,10,0.122,0.9994582469580984,0.0002379087644100219
8,xgboost,10,0.123,0.9994582469580984,0.0002379087644100219
8,xgboost,10,0.124,0.9994582469580984,0.0002379087644100219
8,xgboost,10,0.125,0.9994582469580984,0.0002379087644100219
8,xgboost,10,0.126,0.9994582469580984,0.0002379087644100219
8,xgboost,10,0.127,0.9994674584540453,0.000252635697537944
8,xgboost,10,0.128,0.9994674584540453,0.000252635697537944
8,xgboost,10,0.129,0.9994674584540453,0.000252635697537944
8,xgboost,10,0.13,0.9994674584540453,0.000252635697537944
8,xgboost,10,0.131,0.9994674584540453,0.000252635697537944
8,xgboost,10,0.132,0.9994674584540453,0.000252635697537944
8,xgboost,10,0.133,0.9994674584540453,0.000252635697537944
8,xgboost,10,0.134,0.9994674584540453,0.000252635697537944
8,xgboost,10,0.135,0.9994674584540453,0.000252635697537944
8,xgboost,10,0.136,0.9994674584540453,0.000252635697537944
8,xgboost,10,0.137,0.9994674584540453,0.000252635697537944
8,xgboost,10,0.138,0.9994680343220186,0.0002522387379048956
8,xgboost,10,0.139,0.9994748229434955,0.00024755928126229384
8,xgboost,10,0.14,0.9994816115649726,0.00024288002268184024
8,xgboost,10,0.14100000000000001,0.9994884001864499,0.00023820097383577644
8,xgboost,10,0.14200000000000002,0.9994951888079265,0.00023352214733146425
8,xgboost,10,0.14300000000000002,0.9995019774294036,0.00022884355680652832
8,xgboost,10,0.14400000000000002,0.9995087660508807,0.00022416521703646673
8,xgboost,10,0.145,0.9995155546723578,0.0002194871440557021
8,xgboost,10,0.146,0.9995223432938347,0.00021480935529442528
8,xgboost,10,0.147,0.9995291319153117,0.0002101318697339531
8,xgboost,10,0.148,0.999544978507803,0.00021970693565650086
8,xgboost,10,0.149,0.9995517671292802,0.00021502236125682197
8,xgboost,10,0.15,0.9995585557507572,0.00021033778772466198
8,xgboost,10,0.151,0.9995653443722343,0.00020565321511941537
8,xgboost,10,0.152,0.9995721329937112,0.00020096864350584376
8,xgboost,10,0.153,0.999578921615188,0.00019628407295495
8,xgboost,10,0.154,0.9995857102366653,0.00019159950354468079
8,xgboost,10,0.155,0.9995924988581422,0.00018691493536074355
8,xgboost,10,0.156,0.999599287479619,0.000182230368497825
8,xgboost,10,0.157,0.9996060761010961,0.00017754580306043297
8,xgboost,10,0.158,0.9996128647225732,0.00017286123916446345
8,xgboost,10,0.159,0.9996196533440503,0.0001681766769386718
8,xgboost,10,0.16,0.9996264419655272,0.00016349211652673745
8,xgboost,10,0.161,0.9996332305870042,0.00015880755808911936
