feature_set,model,metric,n_seeds,mean,sd,ci95_method,ci95_low_raw,ci95_high_raw,ci95_low,ci95_high,ci95_display_constrained_to_0_1,manuscript_value
6,mlp,mcc,10,0.9653215312140185,0.011518125121722596,"two-sided mean t interval, df=n-1",0.9570819608641565,0.9735611015638805,0.9570819608641565,0.9735611015638805,False,0.9653 ± 0.0115 (95% CI 0.9571–0.9736)
6,rf,accuracy,10,0.9864861812762719,0.001153513391151163,"two-sided mean t interval, df=n-1",0.9856610075057618,0.9873113550467819,0.9856610075057618,0.9873113550467819,False,0.9865 ± 0.0012 (95% CI 0.9857–0.9873)
6,rf,precision,10,0.9796123571627582,0.0007097856312783658,"two-sided mean t interval, df=n-1",0.9791046071096519,0.9801201072158645,0.9791046071096519,0.9801201072158645,False,0.9796 ± 0.0007 (95% CI 0.9791–0.9801)
6,rf,recall,10,0.9937090968013514,0.0031475128962562366,"two-sided mean t interval, df=n-1",0.9914575017143272,0.9959606918883757,0.9914575017143272,0.9959606918883757,False,0.9937 ± 0.0031 (95% CI 0.9915–0.9960)
6,rf,f1,10,0.9866070328420321,0.0011956413253915153,"two-sided mean t interval, df=n-1",0.9857517225628283,0.9874623431212359,0.9857517225628283,0.9874623431212359,False,0.9866 ± 0.0012 (95% CI 0.9858–0.9875)
6,rf,roc_auc,10,0.999306126276062,8.214538966634716e-05,"two-sided mean t interval, df=n-1",0.9992473630042691,0.9993648895478549,0.9992473630042691,0.9993648895478549,False,0.9993 ± 0.0001 (95% CI 0.9992–0.9994)
6,rf,pr_auc_benign,10,0.9993040158544184,0.00010026522003577225,"two-sided mean t interval, df=n-1",0.9992322904368354,0.9993757412720015,0.9992322904368354,0.9993757412720015,False,0.9993 ± 0.0001 (95% CI 0.9992–0.9994)
6,rf,pr_auc_ddos,10,0.9993259411142781,6.0388015675090436e-05,"two-sided mean t interval, df=n-1",0.9992827421302259,0.9993691400983302,0.9992827421302259,0.9993691400983302,False,0.9993 ± 0.0001 (95% CI 0.9993–0.9994)
6,rf,balanced_accuracy,10,0.9864642338694493,0.0011323403928807031,"two-sided mean t interval, df=n-1",0.9856542063494725,0.987274261389426,0.9856542063494725,0.987274261389426,False,0.9865 ± 0.0011 (95% CI 0.9857–0.9873)
6,rf,mcc,10,0.9730784295480532,0.0023659241785410163,"two-sided mean t interval, df=n-1",0.9713859493478891,0.9747709097482173,0.9713859493478891,0.9747709097482173,False,0.9731 ± 0.0024 (95% CI 0.9714–0.9748)
6,xgboost,accuracy,10,0.9865229877818494,0.001105378604518868,"two-sided mean t interval, df=n-1",0.9857322475633751,0.9873137280003238,0.9857322475633751,0.9873137280003238,False,0.9865 ± 0.0011 (95% CI 0.9857–0.9873)
6,xgboost,precision,10,0.9786137443424027,0.0005107339182794045,"two-sided mean t interval, df=n-1",0.978248387306839,0.9789791013779663,0.978248387306839,0.9789791013779663,False,0.9786 ± 0.0005 (95% CI 0.9782–0.9790)
6,xgboost,recall,10,0.9948416196669578,0.0028030585483920156,"two-sided mean t interval, df=n-1",0.992836432376476,0.9968468069574397,0.992836432376476,0.9968468069574397,False,0.9948 ± 0.0028 (95% CI 0.9928–0.9968)
