feature_set,seed,model,accuracy,precision,recall,f1,balanced_accuracy,mcc,tn,fp,fn,tp,roc_auc,pr_auc_benign,pr_auc_ddos
6,231701,mlp,0.9917471264367816,0.9915935504616656,0.9919125080415403,0.9917530036066252,0.9917470351413884,0.9834942958537656,21555,183,176,21586,0.9983046864967628,0.9974005369638923,0.9986178501490511
6,231701,hybrid,0.9857471264367816,0.9790628115653041,0.9927396379009282,0.9858537920963767,0.9857432663697299,0.9715889338078557,21276,462,158,21604,0.999228606978823,0.9991009821609724,0.9992981340262916
8,231701,xgboost,0.985448275862069,0.9792243139033795,0.9919584597003952,0.9855502545255325,0.9854446820537122,0.9709785314850197,21280,458,175,21587,0.9992352551510143,0.9992068209140771,0.9992602230885697
8,231701,rf,0.9860689655172413,0.98046875,0.9919125080415403,0.9861574306729407,0.9860657397140262,0.9722040405109361,21308,430,176,21586,0.99915318774593,0.9991093337010942,0.9992220258849162
8,231701,mlp,0.984183908045977,0.9762270631835849,0.9925558312655087,0.984323733138899,0.9841792865040397,0.968503156324313,21212,526,162,21600,0.9987612711251115,0.9982771142770138,0.9989039496594836
8,231701,hybrid,0.9855402298850575,0.9794890411580524,0.9918665563826854,0.9856389415283454,0.9855367375712305,0.9711578793714576,21286,452,177,21585,0.9992021242121408,0.9990712201406161,0.9992716815033088
4,257053,xgboost,0.9848505747126437,0.977637952107193,0.992417976288944,0.98497252183431,0.9848463972897475,0.9698118464873219,21244,494,165,21597,0.9991997630012226,0.9991958775123753,0.9991815294135331
4,257053,rf,0.9836091954022989,0.9759417537195315,0.9916827497472659,0.9837492877492877,0.9836047385685451,0.967344063538684,21206,532,181,21581,0.9989938017811757,0.9989955739770902,0.9990122701470993
4,257053,mlp,0.9266436781609195,0.9181339217363894,0.9369083723922433,0.9274261411448975,0.9266380117550508,0.8534643093847859,19920,1818,1373,20389,0.9848902530304061,0.9841837695203011,0.9860655747425734
4,257053,hybrid,0.9849885057471265,0.9764796171730395,0.9939343810311553,0.9851296882472161,0.9849835673671739,0.9701318822680276,21217,521,132,21630,0.9982013956739353,0.9982096700449538,0.9982355628862596
6,257053,xgboost,0.9858390804597701,0.9788930156717094,0.9931072511717673,0.9859489051094891,0.9858350682209007,0.9717804961269871,21272,466,150,21612,0.9992533077394135,0.9992313061959772,0.9992700302413875
6,257053,rf,0.985816091954023,0.9800662943286564,0.9918206047238305,0.9859084161242435,0.9858127772906116,0.9717019534855866,21299,439,178,21584,0.9992434253212911,0.999230453206934,0.9992798837265302
6,257053,mlp,0.9839080459770115,0.9748399314636126,0.9934748644426064,0.9840691852526172,0.9839027648185983,0.967992818422242,21180,558,142,21620,0.9986320038113539,0.9978907275428571,0.9987707954351761
6,257053,hybrid,0.9857471264367816,0.9789325842696629,0.9928774928774928,0.9858557284299858,0.9857431902698257,0.9715927134716993,21273,465,155,21607,0.9991166767029758,0.9990331570933657,0.9991949348118373
8,257053,xgboost,0.985448275862069,0.9792243139033795,0.9919584597003952,0.9855502545255325,0.9854446820537122,0.9709785314850197,21280,458,175,21587,0.9992352551510143,0.9992068209140771,0.9992602230885697
8,257053,rf,0.9860689655172413,0.98046875,0.9919125080415403,0.9861574306729407,0.9860657397140262,0.9722040405109361,21308,430,176,21586,0.9990960356608887,0.9990526973017633,0.9991711415867123
8,257053,mlp,0.9823218390804598,0.9728792179123305,0.9923260729712342,0.9825064264428217,0.9823163164561756,0.9648362681864412,21136,602,167,21595,0.9979290711096023,0.9972739437942193,0.9978656850541014
8,257053,hybrid,0.985632183908046,0.9794927634862302,0.992050363018105,0.9857315708969705,0.9856286408889403,0.971344076025975,21286,452,173,21589,0.9989924647481356,0.9988123617228212,0.9990982682096027
4,282427,xgboost,0.9848505747126437,0.977637952107193,0.992417976288944,0.98497252183431,0.9848463972897475,0.9698118464873219,21244,494,165,21597,0.9991997630012226,0.9991958775123753,0.9991815294135331
